labID,	age,	error,	depth,	cc
Core top,	-34,	1,	780,	0
GSC-3920,	1140,	90,	834,	1
GSC-3913,	2130,	70,	888,	1
GSC-3911,	2900,	80,	938,	1
GSC-3909,	3820,	80,	996,	1
GSC-3869,	4520,	80,	1061,	1
GSC-3877,	5680,	80,	1104,	1
GSC-3874,	6720,	100,	1158,	1
GSC-3867,	8210,	100,	1212,	1
GSC-3923,	9160,	100,	1266,	1
GSC-3846,	9920,	130,	1305,	1
