"datasetid","siteid","sitename","chroncontrolid","type","age","depth","ageboundolder","ageboundyounger","limityounger","limitolder","error","cc"
3060,244,"Bechan Cave",7696,"Core top",0,0,14630,380,0,0,0,0
3060,244,"Bechan Cave",7697,"Radiocarbon",2640,17,14630,380,2540,2740,100,1
3060,244,"Bechan Cave",7698,"Radiocarbon",5500,64,14630,380,5340,5660,160,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7699,"Radiocarbon, average of two or more dates",12134,85,14630,380,12072,12196,62,1
3060,244,"Bechan Cave",7700,"Radiocarbon, average of two or more dates",14857,115,14630,380,14493,15221,364,1
