labid,age,error,depth,cc
Core top,0,10,0,0
Stratigraphic,425,30,32,0
Stratigraphic,1715,35,400,0
Stratigraphic,2140,40,418,0
CAMS-125903,3905,35,808,1
CAMS-125895,3920,35,808,1
Stratigraphic,4280,30,868,0
Stratigraphic,4550,35,890,0
Stratigraphic,4590,40,890,0
Stratigraphic,7455,35,963,0
Stratigraphic,7480,45,963,0
CAMS-125904,8630,60,1041,1
CAMS-125896,8655,30,1041,1
CAMS-131225,7985,40,1044,1
Stratigraphic,7835,30,1047,0
Stratigraphic,8625,35,1069,0
Stratigraphic,8675,35,1069,0
CAMS-131226,9040,35,1086,1
Stratigraphic,11210,35,1306,0
CAMS-128611,11290,60,1335,1
CAMS-128613,11380,140,1341,1
CAMS-131224,11390,50,1387,1
Stratigraphic,11880,35,1426,0
CAMS-128612,12460,60,1445,1
Stratigraphic,13095,40,1681,0
CAMS-131223,12280,60,1712,1
Stratigraphic,13480,45,1755,0
Stratigraphic,13505,45,1768,0
Stratigraphic,13560,45,1768,0
Stratigraphic,14810,45,1976,0
Stratigraphic,14850,45,1976,0
CAMS-125897,14130,120,2003,1
Stratigraphic,15355,50,2120,0
CAMS-125898,17650,240,2364,1
Stratigraphic,19740,70,2463,0
CAMS-125899,19990,180,2573,1
Stratigraphic,21940,80,2785,0
Stratigraphic,23040,90,2916,0
Stratigraphic,23210,90,2916,0
Stratigraphic,25540,160,3064,0
Stratigraphic,26560,130,3177,0
CAMS-139414,26660,240,3186,1
CAMS-139415,26820,260,3189,1
CAMS-125900,30700,3600,3373,1
CAMS-125905,29010,170,3383,1
CAMS-125901,29120,170,3383,1
CAMS-126525,28040,470,3439,1
CAMS-144278,31230,260,3514,1
Stratigraphic,32820,260,3782,0
Stratigraphic,34380,450,4012,0
CAMS-126526,39000,700,4130,1
CAMS-126528,35900,1200,4276,1
CAMS-126527,38100,1100,4531,1
CAMS-126529,40500,2600,4688,1
Tephra,53000,3000,5248,0
Tephra,55000,3000,5350,0
Tephra,84000,500,7099,0
