"datasetid","siteid","sitename","chroncontrolid","type","age","depth","ageboundolder","ageboundyounger","limityounger","limitolder","error","cc"
539,525,"Cupola Pond",1671,"Core top",0,0,17330,0,0,0,0,0
539,525,"Cupola Pond",1672,"Radiocarbon",590,18,17330,0,510,670,80,1
539,525,"Cupola Pond",1673,"Radiocarbon",8830,115,17330,0,8700,8960,130,1
539,525,"Cupola Pond",1674,"Radiocarbon",11150,193.5,17330,0,10980,11320,170,1
539,525,"Cupola Pond",1675,"Radiocarbon",12980,275,17330,0,12740,13220,240,1
539,525,"Cupola Pond",1676,"Radiocarbon",14510,478.5,17330,0,14260,14760,250,1
539,525,"Cupola Pond",1677,"Radiocarbon",15640,635,17330,0,15170,16110,470,1
539,525,"Cupola Pond",1678,"Radiocarbon",14210,667,17330,0,13950,14470,260,1
539,525,"Cupola Pond",1679,"Radiocarbon",17010,935,17330,0,16630,17390,380,1
539,525,"Cupola Pond",1680,"Radiocarbon",17110,1184,17330,0,16770,17450,340,1
539,525,"Cupola Pond",1681,"Radiocarbon",16940,1187,17330,0,16590,17290,350,1
