labid,age,error,depth,cc
Core top,-30,5,0,0
Biostratigraphic_ pollen,100,20,95,0
BSG-1545,1010,150,108,1
WAT-1591,2370,60,296,1
BSG-1546,2210,125,296,1
TO-159,3110,80,480,1
TO-1180,4094,60,780,1
