labid,age,error,depth,cc
Core top,-50,1,0,0
-40.9,-40.9,0.614049891,2,0
-34.1,-34.1,0.684336167,3,0
-22.3,-22.3,0.761461195,4,0
-10.6,-10.6,0.960544514,5,0
2,2,1.253057945,6,0
19.5,19.5,1.72435434,7,0
37.9,37.9,2.800359019,8,0
78.1,78.1,4.795727318,9,0
98.2,98.2,16.15512312,10,0
Ambrosia rise,300,50,15,0
AA 41575,617,36,27,1
AA 41575,617,36,27,1
AA 41576,1468,43,61,1
AA 41576,1468,43,61,1
AA 41577,1872,38,105,1
AA 41577,1872,38,105,1
AA 41578,3171,42,145,1
AA 41578,3171,42,145,1
