"datasetid","siteid","sitename","chroncontrolid","type","age","depth","ageboundolder","ageboundyounger","limityounger","limitolder","error","cc"
681,663,"Denton Lake",1856,"Lead-210",-33,0.2,120,-40,-33,-33,0,0
681,663,"Denton Lake",1857,"Lead-210",-32,1.25,120,-40,-32,-32,0,0
681,663,"Denton Lake",1858,"Lead-210",-30,2.25,120,-40,-30,-30,0,0
681,663,"Denton Lake",1859,"Lead-210",-26,3.75,120,-40,-26,-26,0,0
681,663,"Denton Lake",1860,"Lead-210",-21,5.75,120,-40,-21,-21,0,0
681,663,"Denton Lake",1861,"Lead-210",-16,7.75,120,-40,-16,-16,0,0
681,663,"Denton Lake",1862,"Lead-210",-9,9.75,120,-40,-9,-9,0,0
681,663,"Denton Lake",1863,"Lead-210",16,12.25,120,-40,16,16,0,0
681,663,"Denton Lake",1864,"Lead-210",26,14.75,120,-40,26,26,0,0
681,663,"Denton Lake",1865,"Lead-210",37,17.25,120,-40,37,37,0,0
681,663,"Denton Lake",1866,"Lead-210",47,19.25,120,-40,47,47,0,0
681,663,"Denton Lake",1867,"Lead-210",56,20.5,120,-40,56,56,0,0
681,663,"Denton Lake",1868,"Lead-210",65,22.25,120,-40,65,65,0,0
