"datasetid","siteid","sitename","chroncontrolid","type","age","depth","ageboundolder","ageboundyounger","limityounger","limitolder","error","cc"
1840,1781,"Otto Mielke Lake",5176,"Lead-210",-32,0.75,290,-40,-32,-32,0,0
1840,1781,"Otto Mielke Lake",5177,"Lead-210",-10,5.75,290,-40,-10,-10,0,0
1840,1781,"Otto Mielke Lake",5178,"Lead-210",7,8.75,290,-40,7,7,0,0
1840,1781,"Otto Mielke Lake",5179,"Lead-210",24,11.25,290,-40,24,24,0,0
1840,1781,"Otto Mielke Lake",5180,"Lead-210",43,14.25,290,-40,43,43,0,0
1840,1781,"Otto Mielke Lake",5181,"Lead-210",46,14.75,290,-40,46,46,0,0
1840,1781,"Otto Mielke Lake",5182,"Lead-210",50,15.25,290,-40,50,50,0,0
1840,1781,"Otto Mielke Lake",5183,"Lead-210",54,15.75,290,-40,54,54,0,0
1840,1781,"Otto Mielke Lake",5184,"Lead-210",62,16.75,290,-40,62,62,0,0
1840,1781,"Otto Mielke Lake",5185,"Lead-210",79,19.25,290,-40,79,79,0,0
