labid,age,error,depth,cc
Core top,0,36,441,0
Beta-37848,7760,100,472.5,1
Beta-37849,10020,110,477.5,1
Beta-37850,10980,100,505,1
ETH-3515,12610,135,615,1
ETH-3516,14330,275,635,1
Beta-23165,29350,600,817.5,1
ETH-3517,31610,480,980,1
