labid,age,error,depth,cc
Core top,-49,51,0,0
Ambrosia rise,100,100,19,0
NSRL-11614,1400,30,109,1
NSRL-11615,2530,70,185,1
NSRL-11616,4640,45,296,1
NSRL-11617,5830,50,338,1
NSRL-11618,6990,50,396,1
NSRL-11619,7460,40,438,1
NSRL-11241,8700,90,594,1
