labid,age,error,depth,cc
Core top,0,20,0,0
Biostratigraphic_ pollen,200,50,40,0
Biostratigraphic_ pollen,4900,200,250,0
Biostratigraphic_ pollen,6300,300,310,0
Biostratigraphic_ pollen,9100,400,520,0
Biostratigraphic_ pollen,11200,400,570,0
unassigned,12640,190,632,1
