labID,	age,	error,	depth,	cc
Core top,	-30,	1,	0,	0
Biostratigraphic_ pollen,	70,	30,	32.5,	0
Radiocarbon_ reservoir correction,	1595,	160,	220,	1
Radiocarbon_ reservoir correction,	3485,	160,	385,	1
