labid,age,error,depth,cc
Core top,-44,1,0,0
CAMS-34562,1530,50,93,1
CAMS-34563,3100,70,173,1
CAMS-34564,4500,80,253,1
CAMS-37940,4940,50,273,1
CAMS-34565,5220,50,301,1
CAMS-37941,6800,50,373,1
CAMS-34566,6910,50,381,1
CAMS-34567,9870,50,445,1
CAMS-37942,10010,50,445,1
CAMS-34567,9870,50,445,1
CAMS-37942,10010,50,445,1
CAMS-34568,10170,60,501,1
CAMS-37943,10260,60,501,1
CAMS-34568,10170,60,501,1
CAMS-37943,10260,60,501,1
CAMS-37944,10770,60,525,1
CAMS-23156,10960,50,569,1
CAMS-37945,11690,50,597,1
CAMS-26984,11730,60,601,1
CAMS-37946,12000,70,609,1
CAMS-37947,12710,60,645,1
CAMS-32285,12010,60,665,1
CAMS-37948,13500,70,697,1
CAMS-26985,13940,60,713,1
CAMS-23157,15570,80,773,1
CAMS-37949,17270,110,781,1
CAMS-37950,17060,90,813,1
CAMS-26986,16120,70,848.5,1
CAMS-26987,18320,80,913,1
CAMS-37951,19170,100,917,1
CAMS-32286,19600,90,948,1
CAMS-37952,21490,130,997,1
CAMS-26988,21690,100,1001,1
CAMS-32291,36970,580,1021,1
CAMS-32290,22910,120,1037,1
CAMS-23158,24250,170,1073,1
CAMS-37953,23360,160,1097,1
CAMS-26989,25140,190,1126,1
CAMS-32287,21960,190,1165,1
CAMS-37954,27690,270,1185,1
CAMS-26990,29790,250,1189,1
CAMS-37955,32760,500,1229,1
CAMS-23159,31480,420,1237,1
CAMS-37956,36610,1290,1309,1
CAMS-26991,39070,780,1313,1
CAMS-32288,29330,540,1341,1
CAMS-23160,43400,2000,1365,1
CAMS-37957,42500,1700,1377,1
Heinrich stadials,48500,1500,1393,0
CAMS-37958,45700,2450,1401,1
Heinrich stadials,61650,1550,1676,0
