labID,	age,	error,	depth,	cc
Core top,	-30,	1,	0,	0
Biostratigraphic_ pollen,	100,	50,	25,	0
Beta-30366,	1390,	80,	94.5,	1
Beta-30367,	2170,	100,	194.5,	1
Beta-30368,	3090,	110,	295,	1
Beta-30369,	3820,	90,	395,	1
Beta-30370,	4900,	120,	495,	1
Beta-30371,	6480,	150,	592,	1
Beta-30372,	7430,	110,	695,	1
Beta-30373,	8310,	140,	787,	1
Beta-30374,	10370,	140,	884,	1
