"datasetid","siteid","sitename","chroncontrolid","type","age","depth","ageboundolder","ageboundyounger","limityounger","limitolder","name","notes","hasradiocarbon","altitude","longitude","latitude","error","cc","keep"
2897,2800,"Utricularia Lake",7269,"Core top",0,0,NA,NA,0,0,"NAPD 1","Chron based on dates of pollen zones from Dead Man Lake; see Table 5 in Wright et al. (1973). A hiatus probably exists between 39 and 41 cm depth. Chronology is highly uncertain.",TRUE,2753,-108.80833,35.96889,32,0,0
2897,2800,"Utricularia Lake",7270,"Biostratigraphic, pollen",2000,39,NA,NA,3000,1000,"NAPD 1","Chron based on dates of pollen zones from Dead Man Lake; see Table 5 in Wright et al. (1973). A hiatus probably exists between 39 and 41 cm depth. Chronology is highly uncertain.",TRUE,2753,-108.80833,35.96889,1000,0,0
2897,2800,"Utricularia Lake",7271,"Biostratigraphic, pollen",13500,41,NA,NA,10000,17000,"NAPD 1","Chron based on dates of pollen zones from Dead Man Lake; see Table 5 in Wright et al. (1973). A hiatus probably exists between 39 and 41 cm depth. Chronology is highly uncertain.",TRUE,2753,-108.80833,35.96889,3500,0,0
2897,2800,"Utricularia Lake",7272,"Biostratigraphic, pollen",18500,94.5,NA,NA,15500,21500,"NAPD 1","Chron based on dates of pollen zones from Dead Man Lake; see Table 5 in Wright et al. (1973). A hiatus probably exists between 39 and 41 cm depth. Chronology is highly uncertain.",TRUE,2753,-108.80833,35.96889,3000,0,0
