labid,age,error,depth,cc
Core top,-50,1,0,0
CAMS-70221,4290,40,486.1,1
CAMS-69532,4510,100,486,1
CAMS-70229,9860,50,946.1,1
CAMS-70230,9790,210,946,1
CAMS-66721,340,40,83.7,1
CAMS-68535,780,50,111,1
CAMS-71309,1700,120,230,1
CAMS-71310,1880,40,252,1
CAMS-71311,1850,60,256,1
CAMS-68536,2160,50,292,1
CAMS-68537,2490,100,311.5,1
CAMS-68538,2680,90,328.6,1
CAMS-71312,2920,90,348,1
CAMS-70220,4100,90,456,1
CAMS-70222,4840,210,532,1
CAMS-66722,5280,40,572.5,1
CAMS-68539,5830,40,641.8,1
CAMS-68540,6170,50,653,1
CAMS-70223,6890,90,698,1
CAMS-70224,7880,70,758,1
CAMS-71313,8160,50,766,1
CAMS-71314,7210,60,788,1
CAMS-70225,7240,60,790,1
CAMS-70226,8580,130,883,1
CAMS-70227,8750,80,908,1
CAMS-71315,9470,250,922,1
CAMS-70228,9420,140,930,1
CAMS-71316,9620,190,933,1
CAMS-68541,15490,70,980.4,1
CAMS-68542,10430,40,1019.6,1
CAMS-68543,41190,870,1052.1,1
CAMS-68544,9870,60,1090.3,1
CAMS-66723,10010,40,1129.3,1
CAMS-68545,9960,50,1142.4,1
CAMS-68546,35290,910,1189.5,1
