labid,age,error,depth,cc
Core top,-54,56,0,0
Beta201334,1480,40,129,1
Beta201335,2510,40,250,1
Beta201336,2920,40,271,1
Beta201337,3490,40,365,1
Beta201338,4200,40,459,1
