"datasetid","siteid","sitename","chroncontrolid","type","age","depth","ageboundolder","ageboundyounger","limityounger","limitolder","error","cc"
1107,1074,"Honeymoon Pond",3039,"Core top",0,0,NA,NA,0,0,0,0
1107,1074,"Honeymoon Pond",3040,"Radiocarbon",1590,57.5,NA,NA,1490,1690,100,1
1107,1074,"Honeymoon Pond",3041,"Radiocarbon",2410,112.5,NA,NA,2270,2550,140,1
1107,1074,"Honeymoon Pond",3042,"Radiocarbon",3240,157.5,NA,NA,3120,3360,120,1
1107,1074,"Honeymoon Pond",3043,"Radiocarbon",3840,197.5,NA,NA,3680,4000,160,1
1107,1074,"Honeymoon Pond",3044,"Radiocarbon",4290,222.5,NA,NA,4150,4430,140,1
1107,1074,"Honeymoon Pond",3045,"Radiocarbon",5390,241.5,NA,NA,5270,5510,120,1
1107,1074,"Honeymoon Pond",3046,"Radiocarbon",6050,267.5,NA,NA,5890,6210,160,1
1107,1074,"Honeymoon Pond",3047,"Radiocarbon",6480,282.5,NA,NA,6320,6640,160,1
1107,1074,"Honeymoon Pond",3048,"Radiocarbon",6620,290.5,NA,NA,6420,6820,200,1
1107,1074,"Honeymoon Pond",3049,"Radiocarbon",6770,302.5,NA,NA,6630,6910,140,1
1107,1074,"Honeymoon Pond",3050,"Radiocarbon",6680,312.5,NA,NA,6520,6840,160,1
1107,1074,"Honeymoon Pond",3051,"Radiocarbon",8970,322.5,NA,NA,8520,9370,425,1
1107,1074,"Honeymoon Pond",3052,"Radiocarbon",7770,332.5,NA,NA,7570,7970,200,1
1107,1074,"Honeymoon Pond",3053,"Radiocarbon",7300,355,NA,NA,7100,7500,200,1
1107,1074,"Honeymoon Pond",3054,"Radiocarbon",8900,362.5,NA,NA,8700,9100,200,1
1107,1074,"Honeymoon Pond",3055,"Radiocarbon",9260,370,NA,NA,9060,9460,200,1
1107,1074,"Honeymoon Pond",3056,"Radiocarbon",9220,373.5,NA,NA,9060,9380,160,1
1107,1074,"Honeymoon Pond",3057,"Radiocarbon",9540,377,NA,NA,9340,9740,200,1
1107,1074,"Honeymoon Pond",3058,"Radiocarbon",9390,389.5,NA,NA,9190,9590,200,1
