labID,	age,	error,	depth,	cc
Core top,	-30,	1,	0,	0
Biostratigraphic_ pollen,	150,	50,	15,	0
Biostratigraphic_ pollen,	3800,	250,	65,	0
Biostratigraphic_ pollen,	4800,	250,	100,	0
Biostratigraphic_ pollen,	7600,	250,	200,	0
Biostratigraphic_ pollen,	10400,	250,	255,	0
Biostratigraphic_ pollen,	11500,	250,	670,	0
