labid,age,error,depth,cc
Core top,-39,3,0,0
Beta-53065,900,70,38.5,1
Beta-53066,1350,60,51,1
Beta-53068,2280,50,74.5,1
Beta-54595,2770,70,97.5,1
Beta-54596,3070,70,147.5,1
Beta-54597,3430,110,197.5,1
Beta-54598,3960,60,233.5,1
