labid,age,error,depth,cc
Core top,-43,1,0,0
CAMS-35107,3620,50,110,1
AA-20315,5845,60,198.5,1
Tephra,7627,150,230.5,0
AA-20316,8175,110,294,1
AA-20317,9980,115,356.5,1
AA-20318,11915,95,408,1
