labid,age,error,depth,cc
Core top,-10,20,0,0
Biostratigraphic_ pollen,200,50,32,0
Y-1676,1640,60,109,1
Y-1675,2210,80,169.5,1
Y-1674,2660,80,229.5,1
Y-1673,3220,80,287.5,1
Y-1672,3570,80,346.5,1
Y-1671,4120,80,406.5,1
Y-1670,4550,80,469.5,1
Y-1669,4990,80,529.5,1
Y-1749,5240,90,544.5,1
Y-1721,5680,60,619.5,1
Y-1666,6260,120,695,1
Y-1745,6820,100,716.5,1
Y-1696,6860,60,721.5,1
Y-1744,7050,100,726.5,1
Y-1679,7290,60,732.5,1
Y-1743,7550,80,741.5,1
Y-1693,7700,120,744,1
Y-1742,8320,80,766.5,1
Y-1741,8370,80,771.5,1
Y-1739,8750,140,791.5,1
Y-1452,8900,160,814,1
Y-1726,9120,120,854,1
Y-1724,9520,80,877,1
Y-1448,9950,200,900.5,1
Y-947,10510,160,920.5,1
Y-938/39,11680,180,974.5,1
Y-936,12240,160,993.5,1
Y-958/59,12530,180,1030,1
Y-954/55,13920,150,1052.5,1
Y-952/53,14050,220,1070,1
Y-950/51,15010,240,1090,1
