labid,age,error,depth,cc
Core top,-55,1,0,0
Ambrosia rise,130,10,32.5,0
UGAMS-16761,2260,30,121.5,1
UGAMS-12615,3770,45,228.5,1
UGAMS-12652,5170,25,443.5,1
NOSAMS-65291,5370,35,494.5,1
NOSAMS-65872,5270,130,498.5,1
NOSAMS-65292,6210,35,583.5,1
UGAMS-4653,9470,60,861.5,1
UCIAMS-56655,5060,160,887.5,1
UGAMS-4654,6730,300,887.5,1
NOSAMS-65862,10100,140,888.5,1
UGAMS-4655,7620,280,914.5,1
UCIAMS-56656,8940,80,914.5,1
UGAMS-4656,10090,60,915.5,1
UCIAMS-56652,12410,35,957.5,1
UCIAMS-56653,12740,35,1056.5,1
