labid,age,error,depth,cc
Core top,-41,2,0,0
Beta-39536,2190,80,52,1
Beta-39537,2650,90,148,1
Beta-38387,3730,100,252,1
Beta-38388,3110,60,278,1
Beta-38389,3240,80,314,1
Beta-39538,3580,100,365,1
Beta-38187,4760,80,896,1
