labid,age,error,depth,cc
unassigned,-33,0.41242110075940464,0.75,0
unassigned,-32,0.42432268430755216,1.75,0
unassigned,-30,0.4491661248499844,3.25,0
unassigned,-23,0.5481439239582192,5.75,0
unassigned,-14,0.7080973336663217,8.75,0
unassigned,-4,0.9411236483912107,11.75,0
unassigned,9,1.3622804747243011,14.75,0
unassigned,19,1.81059059192673,17.75,0
unassigned,29,2.406434175926245,20.75,0
unassigned,43,3.5838448907809086,23.75,0
unassigned,61,5.980615944624539,26.75,0
Pre-EuroAmerican settlement horizon,56,50,26.75,0
