labid,age,error,depth,cc
Core top,0,50,0,0
Beta-14233,4490,80,97.5,1
Beta-14234,6190,90,152.5,1
Beta-14235,8300,100,197.5,1
Beta-15007,9420,150,204.5,1
Beta-14236,11570,140,247.5,1
Other dating methods,13500,500,313,0
