labid,age,error,depth,cc
OS-98610,1740,25,100,1
OS-98617,3550,25,200,1
OS-98618,5080,35,300,1
unassigned,6730,40,446,1
OS-88594,8140,35,509.25,1
OS-95045,9260,40,585,1
Beta-330381,9120,50,604.5,1
OS-88481,9130,35,663,1
OS-88480,9630,40,809.25,1
OS-76183,9660,45,955.25,1
OS-95044,10750,50,972.5,1
OS-95077,11100,45,988.5,1
OS-90974,11250,40,1005,1
OS-91010,15550,75,1020,1
OS-87766,12000,510,1023.25,1
unassigned,16100,1700,1441,0
