labID,	age,	error,	depth,	cc
Core top,	0,	1,	0,	0
Beta-20909,	1590,	50,	57.5,	1
Beta-26554,	2410,	70,	112.5,	1
Beta-20910,	3240,	60,	157.5,	1
Beta-26555,	3840,	80,	197.5,	1
Beta-26556,	4290,	70,	222.5,	1
Beta-20911,	5390,	60,	241.5,	1
Beta-26557,	6050,	80,	267.5,	1
Beta-26558,	6480,	80,	282.5,	1
Beta-20912,	6620,	100,	290.5,	1
Beta-26559,	6770,	70,	302.5,	1
Beta-20913,	6680,	80,	312.5,	1
Beta-26560,	8970,	200,	322.5,	1
Beta-20914,	7770,	100,	332.5,	1
Beta-20915,	7300,	100,	355,	1
Beta-20916,	8900,	100,	362.5,	1
Beta-20917,	9260,	100,	370,	1
TO-1538,	9220,	80,	373.5,	1
Beta-20918,	9540,	100,	377,	1
TO-1539,	9390,	100,	389.5,	1
