labid,age,error,depth,cc
unassigned,6730,40,543.75,1
OS-84445,8220,340,564.5,1
N76636,8485,40,612,1
OS-84446,9920,460,644.5,1
OS-76229,9180,55,652.25,1
AA70024,9444,57,657.5,1
AA70025,10414,71,689,1
unassigned,11600,50,697.75,1
OS-86819,12450,50,786.25,1
