labid,age,error,depth,cc
Core top,-39,3,0,0
Beta-44538,280,90,34.5,1
Beta-44539,870,80,46.5,1
Beta-44540,990,70,64.5,1
Beta-43025,1010,70,71.5,1
Beta-43026,1520,70,99.5,1
Beta-42375,2940,70,139,1
Beta-43027,2010,70,160.5,1
Beta-42376,2610,70,202.5,1
Beta-42377,3060,90,257.5,1
Beta-42378,3690,70,296,1
Beta-43028,4910,100,352.5,1
Beta-42379,5310,80,371.5,1
Beta-42380,5980,100,415,1
Beta-42381,5920,90,443.5,1
