labID,	age,	error,	depth,	cc
Core top,	-28,	1,	0,	0
QL-1296,	110,	60,	9,	1
QL-1297,	790,	40,	29,	1
QL-1298,	780,	40,	49,	1
QL-1316,	2580,	50,	325,	1
QL-1317,	2610,	40,	330,	1
QL-1318,	2560,	40,	366.5,	1
QL-1319,	2633,	40,	374,	1
QL-1322,	3350,	40,	475,	1
QL-1324,	4000,	50,	524,	1
QL-1434,	6420,	110,	715,	1
Tephra,	6850,	150,	724,	0
QL-1435,	7460,	120,	733.5,	1
QL-1436,	13800,	210,	1117.5,	1
QL-1437,	15700,	260,	1171.5,	1
QL-1438,	21400,	500,	1527.5,	1
QL-1306,	20500,	400,	1736.5,	1
QL-1308,	26100,	1200,	2011.5,	1
