labID,	age,	error,	depth,	cc
Core top,	-45,	1,	0,	0
Lead-210,	-10,	5,	10,	0
unassigned,	50,	5,	21,	1
Beta-115197,	310,	40,	31,	1
Beta-115644,	530,	60,	61,	1
