labid,age,error,depth,cc
Biostratigraphic_ pollen,0,20,180,0
WIS-1556,970,70,255,1
WIS-1557,2690,70,455,1
WIS-1558,3170,70,655,1
WIS-1559,4240,70,855,1
WIS-1560,4940,80,1055,1
WIS-1561,6020,80,1255,1
WIS-1562,7310,80,1455,1
WIS-1579,9260,90,1614.5,1
