labid,age,error,depth,cc
Core top,-39,1,0,0
NSRL-10504,1610,30,29.5,1
NSRL-10505,1770,55,42.5,1
NSRL-10506,2270,45,51.5,1
NSRL-10507,2250,45,74.5,1
NSRL-10508,2920,40,96.5,1
