labid,age,error,depth,cc
Core top,-58,10,0,0
unassigned,-56,2,2.75,0
unassigned,-46,2,6.25,0
unassigned,-36,2,8.75,0
unassigned,-28,2,11,0
unassigned,-21,2,12.5,0
unassigned,-17,2,13.5,0
unassigned,-15,2,14,0
unassigned,-11,2,14.75,0
unassigned,-7,2,16.25,0
unassigned,6,2,19.25,0
unassigned,26,2,23.25,0
unassigned,48,2,27,0
CAMS-153753,380,35,47,1
CAMS-153754,415,30,81,1
CAMS-152534,1900,110,176,1
CAMS-148638,1615,30,204,1
CAMS-148490,1680,30,204,1
CAMS-148592,1695,35,204,1
CAMS-152535,1775,50,222,1
CAMS-148641,1805,35,277,1
CAMS-148645,1905,35,318,1
CAMS-153755,2110,80,349,1
CAMS-153756,2660,60,378,1
CAMS-153757,2860,60,431,1
CAMS-148650,2850,30,468,1
CAMS-148590,2910,30,505,1
CAMS-148658,2935,35,505,1
CAMS-148491,3175,30,575,1
CAMS-148661,3185,30,575,1
CAMS-148675,3210,30,575,1
CAMS-148660,3230,30,575,1
CAMS-148582,3125,30,611,1
CAMS-148585,3560,80,671,1
