labid,age,error,depth,cc
Core top,-59,10,0,0
210Pb_1,-58,2,1,0
210Pb_2,-56,2,2.5,0
CAMS-144615,-46,2,3,1
210Pb_3,-55,2,4,0
210Pb_4,-53,2,5.5,0
210Pb_5,-50,2,7.5,0
210Pb_6,-47,2,9.5,0
210Pb_7,-42,2,12,0
210Pb_8,-34,2,15.5,0
210Pb_9,-27,2,18.5,0
210Pb_10,-23,2,21,0
210Pb_11,0,2,24,0
210Pb_12,6,2,26,0
CAMS-144616,-7,2,28,1
CAMS-146904,-7,2,28,1
210Pb_13,20,2,29,0
210Pb_14,36,2,33,0
210Pb_15,56,2,37,0
210Pb_16,73,2,40,0
CAMS-144617,225,30,69,1
CAMS-144618,545,30,100,1
CAMS-144619,925,30,121,1
CAMS-146889,1250,120,238,1
CAMS-144623,1670,35,250,1
CAMS-144625,1565,30,289,1
CAMS-144627,2235,30,352,1
CAMS-146907,2590,35,360,1
CAMS-146908,2495,40,360,1
CAMS-144629,2565,35,390,1
CAMS-146909,3215,45,430,1
CAMS-144631,5315,30,594,1
