labID,	age,	error,	depth,	cc
Core top,	-34,	1,	2267,	0
Beta-37851,	1670,	60,	2380,	1
WIS-1646,	3440,	80,	2498,	1
WIS-1752,	4650,	70,	2597,	1
WIS-1647,	7330,	90,	2697,	1
WIS-1753,	9810,	90,	2803,	1
WIS-1648,	10940,	120,	2897,	1
WIS-1649,	13730,	130,	3057,	1
WIS-1754,	17170,	210,	3157,	1
WIS-1650,	20380,	230,	3257,	1
WIS-1755,	24240,	400,	3357,	1
WIS-1651,	26120,	440,	3457,	1
QL-4630,	32300,	450,	3522,	1
QL-4631,	35700,	650,	3602,	1
QL-4057,	35600,	400,	3667,	1
QL-4058,	39600,	500,	3881,	1
QL-4632,	46000,	1,	3997,	1
