"datasetid","sitename","success","reason"
"14928","Prien Lake",1,NA
"14930","Ogac Lake",1,NA
"14933","Nelson Lake",0,"Error in h(simpleError(msg, call)) : 
  error in evaluating the argument 'x' in selecting a method for function 'mean': argument ""mod_radio"" is missing, with no default
"
"14935","Moose Lake",1,NA
"14938","Martins Lake",1,NA
"14944","Fracas Lake",1,NA
"14946","Efstadalsvatn",1,NA
"14948","Dye Lower Water Lake (Dyer Lake)",1,NA
"14951","Bear Lake",1,NA
"14953","Lake Arthur",1,NA
"14955","Lake Arthur",1,NA
"14957","Appleman Lake",1,NA
"14991","Lake Louise",1,NA
"14995","Meade River bluff",1,NA
"14997","Round Pond",1,NA
"14999","Deep Pond",1,NA
"15003","Icehouse Pond",1,NA
"15007","Eagle Pond",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"15009","Jemima Pond",1,NA
"15020","Sandy Hill Pond",1,NA
"15022","Fresh Pond",1,NA
"15032","Mud Lake (Ho)",1,NA
"15035","Lily Lake",1,NA
"15074","Mumbo Lake",1,NA
"15088","Anderson Pond",1,NA
"15106","Lake Emma",1,NA
"15136","Devils Lake, Creel Bay",1,NA
"15138","Jones Lake",1,NA
"15140","Mallard Pond",1,NA
"15142","Makepeace Cedar Swamp",1,NA
"15146","Makepeace Cedar Swamp",1,NA
"15148","Makepeace Cedar Swamp",1,NA
"15153","Wendel site",1,NA
"15157","Code Lake",1,NA
"15167","Elk Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15168","Elk Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15169","Elk Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15175","Last Chance Lake",0,"Error in h(simpleError(msg, call)) : 
  error in evaluating the argument 'x' in selecting a method for function 'mean': argument ""mod_radio"" is missing, with no default
"
"1518","Kinsman Pond",1,NA
"15185","Ruppert Lake",1,NA
"15187","Wild Tussock Lake",1,NA
"15189","Xindi Lake",1,NA
"15191","Fort Bragg (core PAW2)",1,NA
"15197","Laguna Pompal",1,NA
"15199","South Dansville Buried Peat",1,NA
"1520","Kirchner Marsh",1,NA
"15201","Lost Park",1,NA
"15203","Crawford Bog",0,"Error in h(simpleError(msg, call)) : 
  error in evaluating the argument 'x' in selecting a method for function 'mean': argument ""mod_radio"" is missing, with no default
"
"15205","Chesapeake Bay (MD99-2207)",1,NA
"15207","Chesapeake Bay (MD99-2208)",1,NA
"15209","Chesapeake Bay (MD99-2209)",1,NA
"15211","Chesapeake Bay (PTMC3-2)",1,NA
"15214","Big Lake",1,NA
"15216","Titaluk River Exposure 1",1,NA
"15218","Titaluk River Exposure 2",0,"Error in BchronCheck(ages = ages, ageSds = ageSds, positions = positions,  : 
  Assertion on 'positions' failed: Contains missing values (element 1).
"
"15219","Elk Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15221","Caddo Creek (Core 1)",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"15223","Caddo Creek (Core 3)",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"15228","St. Clair Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"1523","Kirk Lake",1,NA
"15232","Eagle Lake",1,NA
"1524","Kitchner Lake",1,NA
"15242","Cowles Bog",1,NA
"15244","Pinhook Bog",1,NA
"15245","George (BE)",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15248","Albert Lea Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15252","Ozawindib Lake",1,NA
"15254","Little Horseshoe Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15256","Cora Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15261","Miller Woods Pond 21",1,NA
"15263","Miller Woods Pond 32",1,NA
"15265","Miller Woods Pond 44",1,NA
"15266","Tamarack Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15268","Miller Woods Pond 51",1,NA
"15269","Elk Lake",1,NA
"15270","LaSalle Lake",1,NA
"15272","Gaff Lake",1,NA
"15273","Saint Olaf Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15274","Jones Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15276","Cassiope Pond",1,NA
"15281","Williams Lake",1,NA
"15282","Winton Bay Lake",1,NA
"15284","Tiny Lake",1,NA
"15286","West Hawk Lake",1,NA
"15288","Pyrola Lake",1,NA
"15292","Byron-Bergen Swamp (Site 2)",1,NA
"15294","Long Lake",1,NA
"15296","Byron-Bergen Swamp (Site 1)",1,NA
"15298","Devlins Park",1,NA
"15302","Emrick Lake",1,NA
"15309","East Soldier Lake",1,NA
"15311","Guard Lake",1,NA
"15316","Trout Lake Bog",1,NA
"15318","Wolsfeld Woods Marsh",1,NA
"15320","Brother-of-Fog Lake",1,NA
"15323","Berendon Fen",0,"Error in h(simpleError(msg, call)) : 
  error in evaluating the argument 'x' in selecting a method for function 'mean': argument ""mod_radio"" is missing, with no default
"
"15325","Black Gum Swamp",1,NA
"15327","Black Gum Swamp",1,NA
"15333","Two Horsemen Pond",1,NA
"15342","Skinny Lake",1,NA
"15344","Fargher Pond",1,NA
"15350","Balsam Lake",1,NA
"15353","Maple Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"15354","South Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"15356","Stewart Bog",1,NA
"15359","Spillway Pond",1,NA
"15363","Aronow Bog",1,NA
"15368","Blue Lake Wetlands",1,NA
"15369","Dunbar Lake [Big Fish Lake]",1,NA
"15371","Ridge and Slough (02-05-20-13)",1,NA
"15377","Ridge and Slough (02-05-20-14)",1,NA
"15379","Ridge and Slough (02-05-21-2)",1,NA
"15381","Ridge and Slough (02-05-21-4)",1,NA
"15383","Ridge and Slough (02-05-21-5)",1,NA
"15385","Flycatcher Basin",1,NA
"15392","Fog Lake",0,"Error in h(simpleError(msg, call)) : 
  error in evaluating the argument 'x' in selecting a method for function 'mean': argument ""mod_radio"" is missing, with no default
"
"15396","Las Flores Arroyo",1,NA
"15399","Long Last Lake",1,NA
"15403","Deep Lake",1,NA
"15406","Jan Lake",1,NA
"15408","Nichols Meadow",1,NA
"1541","Kollioksak",1,NA
"15410","Nichols Meadow",1,NA
"15413","Paradox Lake",1,NA
"15415","Cootes Paradise Marsh",0,"Error in set_missing_control_errors(geochron) : 
  an na chron control error could not be assigned for NA
"
"15417","Rasberry Bog",1,NA
"15420","Pyramid Lake",1,NA
"15426","Twin Lake",1,NA
"15460","Adventure Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15462","Bass Pond",1,NA
"15463","Benach Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"15477","BlueJ Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
