"datasetid","sitename","success","reason"
"1000","Hafichuk Site",1,NA
"1001","Hail Lake",1,NA
"1004","Hansen Marsh",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen
"
"1006","Harding Lake",1,NA
"1010","Hawke Hills Kettle",1,NA
"1012","Hawley Bog Pond-1",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen; Biostratigraphic, pollen; Biostratigraphic, pollen; Biostratigraphic, pollen
"
"1025","Healy Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  Biostrat control with fewer than 3 controls of other types
"
"1028","Hebron Lake",1,NA
"1033","Tourbière de Lanoraie HENRI",1,NA
"10972","Hemlock Hollow",0,"Error in if (any(geochron$limityounger < (-70))) { : 
  missing value where TRUE/FALSE needed
"
"1105","High Lake",1,NA
"1107","Honeymoon Pond",1,NA
"1113","Houghton Bog",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  Biostrat control with fewer than 3 controls of other types
"
"1114","Howes Prairie Marsh",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen
"
"1136","Humber Pond 5",1,NA
"1140","Icehouse Bottom [40MR23]",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"1149","Inglesby Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen; Biostratigraphic, pollen; Biostratigraphic, pollen; Biostratigraphic, pollen
"
"1151","Iola Bog",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  Biostrat control with fewer than 3 controls of other types
"
"1160","Jackson Pond",1,NA
"1162","Jacob Lake",1,NA
"1171","James Bay",1,NA
"1254","Saint-Jean Ile d'Orléans",1,NA
"1391","Joes Pond",1,NA
"1392","Johnson River Bog",1,NA
"1437","Kanaaupscow",1,NA
"1445","Keele Lake",1,NA
"1450","Kennys Pond",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen
"
"1451","Lac Kénogami",1,NA
"1518","Kinsman Pond",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen; Biostratigraphic, pollen; Biostratigraphic, pollen
"
"1523","Kirk Lake",1,NA
"1548","Kotiranta Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen; Biostratigraphic, pollen; Biostratigraphic, pollen
"
"1568","Lacawac",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen
"
"1572","Lac à Magie",1,NA
"1574","Ladd Lake",1,NA
"1582","Lake 31",1,NA
"1583","Lake A",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  Biostrat control with fewer than 3 controls of other types
"
"1588","Lake Carlson",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen; Biostratigraphic, pollen; Biostratigraphic, pollen; Biostratigraphic, pollen
"
"1591","Lake EC1",1,NA
"1595","Lake GB2",1,NA
"1598","Lake LB1",1,NA
"16012","Torren's Bog",0,"Error in if (any(geochron$limityounger < (-70))) { : 
  missing value where TRUE/FALSE needed
"
"1603","Lake LT1",1,NA
"1607","Lake Six",1,NA
"16101","Juan Perez Sound",1,NA
"16137","Awl Site midden",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"16139","Awl Site midden",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"16143","Nelson Basin midden",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"16145","Nelson Basin midden",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"16151","Nelson Basin midden",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"16153","Nelson Basin midden",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"16161","No Name East midden",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"16163","No Name East midden",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"16169","No Name West midden",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"1617","Lateral Pond",1,NA
"1620","Little Bayou Sara Site 4J",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"1622","Leading Tickles",1,NA
"1626","Lac à Léonard",1,NA
"16265","Glenora Bay",0,"Error in if (any(geochron$limityounger < (-70))) { : 
  missing value where TRUE/FALSE needed
"
"1637","Lily Lake Fen",1,NA
"1642","Little Lake",1,NA
"1650","Lake Hope Simpson",1,NA
"1651","Little Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen; Biostratigraphic, pollen
"
"1658","Lonesome Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen
"
"1659","Long Lake (CA:Nunavut)",1,NA
"1663","Loon Pond",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen
"
"1665","Lost Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen; Biostratigraphic, pollen; Biostratigraphic, pollen; Biostratigraphic, pollen; Biostratigraphic, pollen
"
"1669","Lake Louise",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"1670","Louise Pond",1,NA
"1685","Lake Mabel",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  one or no controls after filtering
"
"1689","Main-à-Dieu",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  Biostrat control with fewer than 3 controls of other types
"
"1697","Mangrove Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen
"
"1701","Maplehurst Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen
"
"1705","Marion Lake",1,NA
"1707","Mariposa Lake",1,NA
"1716","Sud du Lac du Noyer",1,NA
"1717","Mayberry Well",1,NA
"1724","McMaster Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen; Biostratigraphic, pollen; Biostratigraphic, pollen
"
"1725","McNearney Lake",1,NA
"1733","Lac Mélèze",1,NA
"17345","North Killeak Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  an na chron control error could not be assigned for NA
"
"17406","Penegor Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Ambrosia rise
"
"1754","Lac Mimi",1,NA
"1761","Molas Lake",1,NA
"1762","Molas Pass Bog",1,NA
"1766","Montezuma Well",1,NA
"1769","18 [Moraine Lake]",1,NA
"1773","Moulton Pond",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen
"
"1775","Mud Creek Site 1",1,NA
"1780","Munday Creek",1,NA
"1782","Muscotah Marsh",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen; Biostratigraphic, pollen
"
"17880","Lost Swamp",1,NA
"1789","Natural Lake",1,NA
"1800","Nicol Lake",1,NA
"1806","Niliq Lake",1,NA
"1815","Nonconnah Creek [TN-1]",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"1817","North Pond",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen
"
"1826","Old Field",1,NA
"1829","Oliver Pond",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen
"
"1834","Lake Ontario, Mississauga Basin",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen; Biostratigraphic, pollen; Biostratigraphic, pollen; Biostratigraphic, pollen
"
"1835","Opabin Lake",1,NA
"1847","Palace Pier Section",1,NA
"1848","Panther Run Pond",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen; Biostratigraphic, pollen
"
"1854","Park Pond 2",1,NA
"1856","Park Pond 3",1,NA
"1859","Pasacaco Pond",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen
"
"1861","Pasqua Lake",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  Biostrat control with fewer than 3 controls of other types
"
"1865","Patschke Bog",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  Biostrat control with fewer than 3 controls of other types
"
"1868","Paynter Marsh",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  unreliable controls used: Biostratigraphic, pollen
"
"1883","Peggy Lake",1,NA
"1890","Lac Petel",1,NA
"1898","Pinckneyville Creek Site 19",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
"1899","Pinckneyville Creek Site 20",0,"Error in do_core_bchron(core.id, chron.control.types, mod_radio, mod_lead,  : 
  only 1 control before filtering
"
