"datasetid","sitename","success"
"235","Barry Lake",1
"2352","Seagull Lake",1
"2353","Kettle's Lake [Second Lake]",1
"2355","Seidel",1
"236","Baseball Bog",1
"2366",NA,0
"2367","LD Lake",1
"237","Basin Pond",0
"2372","Sewell Lake",1
"2373","Saint-Francois de Sales",1
"2374","Shady Valley Bog",1
"2376","Shangri-La Bog",1
"2377","Shaws Bog",1
"2380","Sheley Pond",0
"2381","Sherd Lake",1
"2382","Shouldice Lake",1
"2384","Silver Lake",1
"2385","Silver Lake",1
"2386","Silver",1
"239","Battle Ground Lake",1
"2391","Sinkhole Pond",0
"2393","Sioux Pond",1
"240","Battaglia Bog",1
"244","Beach Lake",1
"245","Bear Bog",1
"246","Beaver Lake",1
"247","Bechan Cave",1
"2476","Sleet Lake",1
"249","Beckman Lake",0
"25","Alexis Lake",1
"250","Beef Pasture",1
"253","Bell's Lake",1
"254","Belmont Bog",1
"2576","Slough Creek Pond",1
"2577","Slow River",1
"2578","Smoot Lake Bog",1
"258","Bereziuk",1
"2580","Snowshoe Lake",1
"2588","Splains Lake",1
"2590","Spring Lake",1
"2591","Spring Lake",1
"2593","Spruce Pond",1
"2598","Stages Pond",1
"2599","Starkweather Pond",1
"260","Berry Pond",1
"2603","Saint John Island Pond",1
"2604","Stockbridge Bowl",0
"2607",NA,0
"2609","Stotzel-Leis Site",1
"2610","Sugarloaf Pond",1
"2611","Sulphur Lake",1
"2615","Surprise Lake",1
"2617","Sutherland Pond",1
"2619","Swamp Lake",1
"2620","Swan Lake",1
"2621","Swartswood Lake",0
"2622","Sweet Little Lake",1
"2623","Szabo Pond",1
"2625","Tangle Lakes",1
"2626","Tannersville Bog",1
"2629","Taupawshas Bog",1
"2630","Taylor Creek Site 2",1
"2631","Taylor Lake",1
"2634","Telegraph Creek",1
"2636","Ten Lakes",1
"2637","Ten Mile Lake",1
"2639","Petit Lac Terrien",1
"2642","Tiinkdhul Lake",1
"2644","Tioga Pass Pond",1
"2645","Titicut Swamp",1
"2646","Thompson Landing",1
"2647","Toboggan Lake",1
"2651","Tonawa Lake",1
"2652","Tonquin Creek",1
"2654","Lac à la Tortue",1
"2661","Tuktoyaktuk 5",1
"2663","Lake Tulane",1
"2667","Tunica Bayou Site 22",0
"2668","Tunica Bayou Site 23",0
"2669","Tunturi Lake",1
"267","Banks Island 74MS11",0
"2671","Lac Turcotte",1
"2673","Tuskegee Pond",1
"268","Banks Island 74MS12",0
"269","Banks Island 74MS15",0
"27","Aliuk Pond",1
"272","Big John Pond",1
"274","Big Pond",1
"276","Bishops Falls",1
"278","Black Pond",1
"279","Blacktail Pond",1
"280","Blandin Pond",0
"281","BL-Tombigbee",1
"2879","Twin Lakes (CA:British Columbia)",1
"2880","Twin Lakes",1
"2882","Tyrrell Lake",1
"2886","Unknown Pond",0
"2890","Upper Mallot Lake",1
"2892","Upper South Branch Pond",1
"2897","Utricularia Lake",0
"2903","Van Nostrand Lake",1
"2912","Baie du Diana",1
"2919","Volo Bog",1
"2922","Walker Lake",0
"2925","Watchtower Basin",1
"2926","Waubashene Nippissing Transgression Site",1
"2943","Water Conservation Area 2A, Site 2 (Site F1)",1
"2947","Wells Mastodon Site",1
"2948","Wentzel's Pond",1
"2949","Weslemkoon Lake",1
"295","Bob Black Pond",0
"2950","Whiskey Lake",0
"2951","Whitney's Gulch",1
"2952","White Lily Lake",0
"2953","Whyac Lake",1
"2954","Wien Lake",1
"2955","Wilcox Pass",1
"2956","Willow River Pond",1
"2960","Winter Gulf Site",1
"2961","Wintergreen Lake",1
"2962","Wild Spear Lake",1
"300","Bondi Section",1
"302","Boone Lake",1
"3029","Wolf Creek",1
"303","Border Beacon",1
"3031","Wolsfeld Lake",1
"3033","Wonder Lake",1
"3034","Woodcliff Lake",0
"3036","Woodworth Pond",0
"3038","Point Woronzof Peat Section",1
"3039","Woski Pond",1
"304","Boriack Bog",1
"3041","Wylde Bog",1
"3042","Wylde Lake",1
"3046","Lac Yelle",1
"3048","Yesterday Lake",1
"3050","Zuehl Farm Site",1
"3054","Head Lake",1
"3056","Como Lake",1
"3058","Basswood Road Lake/Splan Pond",1
"306","Lac Boucané",1
"3060","Bechan Cave",1
"3062","Beckman Lake",0
"3067","Boney Spring",1
"307","Boundary Lake",0
"3076","Toadlena Lake [Dead Man Lake]",1
"308","Boundary Pond",1
"3081","Disterhaft Farm Bog",1
"309","Brandreth Bog",1
"311","Brisay 2",1
"312","Brophy Ditch",1
"3125","E Lake",1
"3126","Ferndale Bog",1
"3127",NA,0
"3130","Heart Lake",1
"3131","Hells Kitchen Lake",1
"3132","Hershop Bog",1
"3149","John Klondike Bog",1
"315","Brown Lake",1
"316","Browns Pond",1
"318","Buckbean Fen",1
"319","Buck Lake",1
"321","Bucyrus Bog",1
"324","Burden Lake",1
"326","Lac à la Busque",1
"329","Saint-Calixte",1
"331","Camel Lake",1
"338","Carbuncle Pond",0
"339","Lac Caribou",1
"340","Caribou Bog",1
"341","Caribou Hill",1
"343","Carp Lake",1
"345","Carter Site",1
"3452","Kellys Hollow",1
"3469","Lake Ann",0
"347","Cascade Fen [Engineer Mountain Bog]",0
"3471","Lake BI2",1
"3482","Lake of the Clouds",1
"3484","Lake Louise",1
"3485","McNearney Lake",1
"3486","McNearney Lake",0
"3487","Medicine Lake",1
"3492","Lake Minnie",1
"3493","Mohawk Pond",1
"3495","Muscotah Marsh",1
"3497","Nichols Brook Site",1
"3500","Patschke Bog",1
"3501","Pittsburg Basin",1
"352","Cedar Bog",1
"3541","Pogonia Bog Pond",0
"3542","Pickerel Lake",1
"3558","Pogonia Bog Pond",1
"3559","Portage Marsh",1
"3560","Potato Lake",0
"3561","Potato Lake",1
"3563","Pretty Lake",1
"3565","Saint-Raymond",1
"3568","Rice Lake",1
"3582","Rockyhock Bay",1
"3583","Rosebud",1
"3608","Sagehen Marsh",0
"3609","Sagehen Marsh",0
"361","Chase Pond",1
"3611","San Agustin Plains",1
"3612","San Agustin Plains",1
"3613","Sierra Bacha 1",0
"3614","Sierra Bacha 1",0
"3615","Sierra Bacha 1",0
"3616","Sierra Bacha 1",0
"3617","Sierra Bacha 1",0
"3618","Sierra Bacha 1",0
"3619","Sierra Bacha 1",0
"367","Cheyenne Bottoms",1
"369","Chippewa Bog",1
"371","Chism 1",1
"373","Chism 2",1
"375","Chatsworth Bog",1
"3771","Snow Lake",0
"3772","South Soefje Bog",0
"3775","Basswood Road Lake/Splan Pond",1
"3780",NA,0
"3782","Taylor Creek Site 2",1
"3784",NA,0
"3786",NA,0
"3789",NA,0
"3790","Tom Swamp",1
"381","Lac Ciel Blanc",1
"3830","Upper Wallface Pond",1
"3831","Vestaburg Bog",1
"3837","Weber Lake",1
"3839","Weslemkoon Lake",1
"3840","White Pond",1
"3841",NA,0
"3858","West Sand Lake Peat Bog",0
"39335",NA,0
"41032","Henrys Fork (lower exposure)",1
"41034","Henrys Fork (upper exposure)",1
"4557","Aino Pond",1
"47621","Pearson's Pond",1
"489","Clear Lake",1
"490","Clear Lake",0
"492","Clear Pond",1
"493","Clearwater Lake",1
"496","Coghill Lake",1
"497","Colo Marsh",1
"498","Columbine Ranch Fen",1
"500","Comb Lake",1
"501","Compass Pond",1
"502","Conklin Quarry",0
"506","Copley Lake",1
"508","Lac Côté",1
"510","Tourbière de Lanoraie COTEAU JAUNE",1
"513","Cottonwood Lake",1
"514","Cottonwood Pass Pond",1
"516","Cranberry Lake",1
"517","Crane Lake",1
"518","Cranberry Glades",1
"519","Crates Lake",1
"522","Creditview Wetland",0
"523","Crider's Pond",1
"524","Cristal Lake",1
"525","Crowfoot Lake",1
"527","Crowsnest Lake",1
"533","Cub Creek Pond",1
"534","Cub Lake",1
"538","Cummins Pond",1
"539","Cupola Pond",1
"543","Cygnet Lake Fen",1
"550","Davis Lake",1
"671","Toadlena Lake [Dead Man Lake]",1
"672","Decoy Lake",1
"673","Deer Lake Bog",1
"675","Delorme 1",1
"678","Lac Demain",1
"681","Denton Lake",1
"683","Devils Lake, Main Bay",1
"685","Devon Island Glacier",0
"688","Diana 375",1
"691","Lac du Diable",1
"693","Dinkey Meadow",1
"699","Dismal Swamp (91)",1
