labid,age,error,depth,cc
Core top,0,20,0,0
Pre-EuroAmerican settlement horizon,99,50,13,0
WIS-735,1190,60,80,1
WIS-736,2710,60,160,1
WIS-739,3355,60,192,1
WIS-737,4410,65,284,1
