labid,age,error,depth,cc
Core top,-49,51,0,0
Biostratigraphic_ pollen,60,10,170,0
Biostratigraphic_ pollen,90,5,175,0
Biostratigraphic_ pollen,110,5,185,0
Biostratigraphic_ pollen,150,20,195,0
Beta151637,510,70,302,1
Beta151638,1310,60,455,1
Beta140195,1750,70,590,1
