labid,age,error,depth,cc
Core top,0,40,0,0
Beta-60639,2880,60,181,1
Beta-62266,4950,60,235,1
Tephra,6850,150,333,0
Beta-60640,8770,80,505,1
Beta-62267,9830,70,595,1
Beta-60641,12300,110,720,1
