labID,	age,	error,	depth,	cc
Core top,	-45,	1,	0,	0
TO-7939,	1560,	90,	13.5,	1
TO-7940,	2600,	80,	41.5,	1
TO-7941,	4140,	80,	74,	1
TO-7942,	6480,	140,	91.5,	1
Other dating methods,	10200,	1000,	160,	0
