labid,age,error,depth,cc
CAMS-105794,9185,40,216,1
CAMS-105795,9335,40,240,1
CAMS-105796,9525,40,256,1
UCIAMS-38373,9620,70,279,1
CAMS-116405,9925,35,314,1
UCIAMS-76210,10010,120,325.5,1
CAMS-111247,10555,40,343.25,1
UCIAMS-38374,10350,180,356,1
CAMS-116406,10495,35,389.5,1
UCIAMS-38375,10540,30,394.5,1
UCIAMS-38376,10865,25,412.5,1
UCIAMS-38377,10865,25,416.5,1
CAMS-111248,10980,35,435,1
UCIAMS-38378,11795,30,515,1
UCIAMS-38379,12305,30,536,1
CAMS-111409,11605,45,558,1
CAMS-111410,12055,45,575.5,1
CAMS-111411,12495,45,593,1
CAMS-105797,13750,40,772,1
CAMS-105798,13870,60,828,1
