labid,age,error,depth,cc
Core top,-55,5,0,0
Pre-EuroAmerican settlement horizon,43,50,26.5,0
OS-62594,445,35,51,1
OS-55022,950,30,70.5,1
OS-62595,1100,25,95,1
OS-54979,1580,30,125.5,1
OS-62740,1910,35,152,1
OS-54978,2420,35,205.5,1
OS-62740,3075,35,272,1
OS-55023,3410,30,300.5,1
