labid,age,error,depth,cc
Core top,-53,1,878,0
unassigned,-43.8,3.02,882,0
unassigned,-22.3,4.39,886,0
unassigned,-3.5,7.19,890,0
unassigned,6.4,9.35,892,0
unassigned,26.9,17.22,894,0
unassigned,75.8,77.35,896,0
CAMS-05833,1645,35,1082,1
CAMS-05116,1905,40,1145,1
CAMS-03810,2220,35,1189,1
CAMS-07018,2535,40,1242,1
CAMS-07019,2980,60,1292,1
CAMS-05118,3700,50,1364,1
CAMS-05117,4295,40,1395,1
CAMS-05119,4565,40,1443,1
CAMS-05120,5840,60,1491,1
CAMS-93676,6325,40,1528.5,1
CAMS-97115,7960,40,1565.5,1
