labid,age,error,depth,cc
Core top,-51,53,0,0
CAMS116841,405,40,9,1
CAMS114723,1295,35,31,1
CAMS114724,2275,30,49,1
CAMS116840,2805,40,59.5,1
CAMS80792,4155,40,86.5,1
CAMS116839,4875,35,97,1
CAMS80794,6555,40,123,1
