labID,	age,	error,	depth,	cc
Core top,	-36,	1,	0,	0
Radiocarbon_ reservoir correction,	580,	140,	46.5,	1
Radiocarbon_ reservoir correction,	730,	180,	123.5,	1
Radiocarbon_ reservoir correction,	1410,	180,	203.5,	1
