labid,age,error,depth,cc
Ambrosia rise,200,25,10,0
WIS-1719,1920,80,186.5,1
WIS-1720,2820,80,287.5,1
WIS-1452,3270,70,352.5,1
IDW-2d Tsuga decline,5475,121,470,0
WIS-1721,4880,80,481,1
WIS-1453,5560,70,582.5,1
WIS-1722,6140,90,634,1
WIS-1483,7220,80,722.5,1
WIS-1723,8320,100,854,1
WIS-1484,8560,90,922.5,1
IDW-2d Picea decline,11044,166,1050,0
WIS-1485,9640,100,1052.5,1
WIS-1724,9840,100,1126,1
IDW-2d Quercus rise,11660,215,1130,0
WIS-1405,12460,110,1181,1
WIS-1725,13490,150,1284,1
