"datasetid","siteid","sitename","chroncontrolid","type","age","depth","ageboundolder","ageboundyounger","limityounger","limitolder","error","cc"
3493,558,"Mohawk Pond",8135,"Radiocarbon",1920,186.5,15780,200,1840,2000,80,1
3493,558,"Mohawk Pond",8136,"Radiocarbon",2820,287.5,15780,200,2740,2900,80,1
3493,558,"Mohawk Pond",8137,"Radiocarbon",3270,352.5,15780,200,3200,3340,70,1
3493,558,"Mohawk Pond",8138,"Radiocarbon",4880,481,15780,200,4800,4960,80,1
3493,558,"Mohawk Pond",8139,"Radiocarbon",5562,582.5,15780,200,5492,5632,70,1
3493,558,"Mohawk Pond",8140,"Radiocarbon",6140,634,15780,200,6050,6230,90,1
3493,558,"Mohawk Pond",8141,"Radiocarbon",7220,722.5,15780,200,7140,7300,80,1
3493,558,"Mohawk Pond",8142,"Radiocarbon",8320,854,15780,200,8220,8420,100,1
3493,558,"Mohawk Pond",8143,"Radiocarbon",8560,922.5,15780,200,8470,8650,90,1
3493,558,"Mohawk Pond",8144,"Radiocarbon",9640,1053.5,15780,200,9540,9740,100,1
3493,558,"Mohawk Pond",8145,"Radiocarbon",9840,1126,15780,200,9740,9940,100,1
3493,558,"Mohawk Pond",8146,"Radiocarbon",12460,1181,15780,200,12350,12570,110,1
3493,558,"Mohawk Pond",8147,"Radiocarbon",13490,1279,15780,200,13190,13790,300,1
