"labid","depths","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207","X208","X209","X210","X211","X212","X213","X214","X215","X216","X217","X218","X219","X220","X221","X222","X223","X224","X225","X226","X227","X228","X229","X230","X231","X232","X233","X234","X235","X236","X237","X238","X239","X240","X241","X242","X243","X244","X245","X246","X247","X248","X249","X250","X251","X252","X253","X254","X255","X256","X257","X258","X259","X260","X261","X262","X263","X264","X265","X266","X267","X268","X269","X270","X271","X272","X273","X274","X275","X276","X277","X278","X279","X280","X281","X282","X283","X284","X285","X286","X287","X288","X289","X290","X291","X292","X293","X294","X295","X296","X297","X298","X299","X300","X301","X302","X303","X304","X305","X306","X307","X308","X309","X310","X311","X312","X313","X314","X315","X316","X317","X318","X319","X320","X321","X322","X323","X324","X325","X326","X327","X328","X329","X330","X331","X332","X333","X334","X335","X336","X337","X338","X339","X340","X341","X342","X343","X344","X345","X346","X347","X348","X349","X350","X351","X352","X353","X354","X355","X356","X357","X358","X359","X360","X361","X362","X363","X364","X365","X366","X367","X368","X369","X370","X371","X372","X373","X374","X375","X376","X377","X378","X379","X380","X381","X382","X383","X384","X385","X386","X387","X388","X389","X390","X391","X392","X393","X394","X395","X396","X397","X398","X399","X400","X401","X402","X403","X404","X405","X406","X407","X408","X409","X410","X411","X412","X413","X414","X415","X416","X417","X418","X419","X420","X421","X422","X423","X424","X425","X426","X427","X428","X429","X430","X431","X432","X433","X434","X435","X436","X437","X438","X439","X440","X441","X442","X443","X444","X445","X446","X447","X448","X449","X450","X451","X452","X453","X454","X455","X456","X457","X458","X459","X460","X461","X462","X463","X464","X465","X466","X467","X468","X469","X470","X471","X472","X473","X474","X475","X476","X477","X478","X479","X480","X481","X482","X483","X484","X485","X486","X487","X488","X489","X490","X491","X492","X493","X494","X495","X496","X497","X498","X499","X500","X501","X502","X503","X504","X505","X506","X507","X508","X509","X510","X511","X512","X513","X514","X515","X516","X517","X518","X519","X520","X521","X522","X523","X524","X525","X526","X527","X528","X529","X530","X531","X532","X533","X534","X535","X536","X537","X538","X539","X540","X541","X542","X543","X544","X545","X546","X547","X548","X549","X550","X551","X552","X553","X554","X555","X556","X557","X558","X559","X560","X561","X562","X563","X564","X565","X566","X567","X568","X569","X570","X571","X572","X573","X574","X575","X576","X577","X578","X579","X580","X581","X582","X583","X584","X585","X586","X587","X588","X589","X590","X591","X592","X593","X594","X595","X596","X597","X598","X599","X600","X601","X602","X603","X604","X605","X606","X607","X608","X609","X610","X611","X612","X613","X614","X615","X616","X617","X618","X619","X620","X621","X622","X623","X624","X625","X626","X627","X628","X629","X630","X631","X632","X633","X634","X635","X636","X637","X638","X639","X640","X641","X642","X643","X644","X645","X646","X647","X648","X649","X650","X651","X652","X653","X654","X655","X656","X657","X658","X659","X660","X661","X662","X663","X664","X665","X666","X667","X668","X669","X670","X671","X672","X673","X674","X675","X676","X677","X678","X679","X680","X681","X682","X683","X684","X685","X686","X687","X688","X689","X690","X691","X692","X693","X694","X695","X696","X697","X698","X699","X700","X701","X702","X703","X704","X705","X706","X707","X708","X709","X710","X711","X712","X713","X714","X715","X716","X717","X718","X719","X720","X721","X722","X723","X724","X725","X726","X727","X728","X729","X730","X731","X732","X733","X734","X735","X736","X737","X738","X739","X740","X741","X742","X743","X744","X745","X746","X747","X748","X749","X750","X751","X752","X753","X754","X755","X756","X757","X758","X759","X760","X761","X762","X763","X764","X765","X766","X767","X768","X769","X770","X771","X772","X773","X774","X775","X776","X777","X778","X779","X780","X781","X782","X783","X784","X785","X786","X787","X788","X789","X790","X791","X792","X793","X794","X795","X796","X797","X798","X799","X800","X801","X802","X803","X804","X805","X806","X807","X808","X809","X810","X811","X812","X813","X814","X815","X816","X817","X818","X819","X820","X821","X822","X823","X824","X825","X826","X827","X828","X829","X830","X831","X832","X833","X834","X835","X836","X837","X838","X839","X840","X841","X842","X843","X844","X845","X846","X847","X848","X849","X850","X851","X852","X853","X854","X855","X856","X857","X858","X859","X860","X861","X862","X863","X864","X865","X866","X867","X868","X869","X870","X871","X872","X873","X874","X875","X876","X877","X878","X879","X880","X881","X882","X883","X884","X885","X886","X887","X888","X889","X890","X891","X892","X893","X894","X895","X896","X897","X898","X899","X900","X901","X902","X903","X904","X905","X906","X907","X908","X909","X910","X911","X912","X913","X914","X915","X916","X917","X918","X919","X920","X921","X922","X923","X924","X925","X926","X927","X928","X929","X930","X931","X932","X933","X934","X935","X936","X937","X938","X939","X940","X941","X942","X943","X944","X945","X946","X947","X948","X949","X950","X951","X952","X953","X954","X955","X956","X957","X958","X959","X960","X961","X962","X963","X964","X965","X966","X967","X968","X969","X970","X971","X972","X973","X974","X975","X976","X977","X978","X979","X980","X981","X982","X983","X984","X985","X986","X987","X988","X989","X990","X991","X992","X993","X994","X995","X996","X997","X998","X999","X1000"
37052,0,15,29,20,-40,74,13,-8,0,50,50,50,-36,-50,44,-5,43,43,17,17,-18,-18,-4,61,-30,76,41,41,52,-14,-14,-14,14,-42,-39,49,-14,-34,-3,-8,6,-54,7,-39,83,-11,-11,-72,-16,-26,11,-19,-19,-8,-2,5,-6,-18,-28,-28,26,26,26,26,-33,0,44,42,42,-30,83,-26,-26,-24,-24,-29,71,31,-18,0,-39,-39,55,49,-20,8,-20,-29,-64,-68,74,-26,9,-33,0,40,4,58,49,-12,-12,-12,5,5,5,-24,100,61,59,33,-44,-24,111,13,13,-19,49,105,59,90,5,-2,41,-9,3,28,-2,-9,15,-33,106,80,25,64,44,-22,-40,-25,23,23,34,40,88,-32,57,19,-6,23,2,-38,-38,-22,36,36,57,84,-22,127,68,-12,-18,-18,-37,-23,-34,63,-4,8,8,-48,10,-17,31,-4,-4,-4,-4,-8,26,56,-29,-37,23,-1,24,-49,-10,2,2,25,57,-2,-14,-23,1,-49,-49,-49,100,-1,-33,9,15,45,-72,95,-42,-23,8,3,13,-6,-6,38,45,12,-61,61,157,-23,21,21,-47,14,17,-56,-56,-5,-5,-5,-5,-5,-33,6,6,22,78,31,31,31,-47,-47,102,2,2,67,62,-36,46,-18,-36,-36,15,15,3,3,3,7,47,-25,59,-45,42,120,77,6,85,55,101,-48,-9,25,28,52,-39,-32,-32,3,43,7,-19,38,38,100,-67,85,-23,-33,45,-66,64,70,44,44,27,92,111,111,6,78,-29,77,77,77,22,93,-25,-28,-3,-32,-51,51,7,57,31,14,-59,-46,-46,30,2,2,50,-14,-30,-32,-4,19,-16,-16,44,-27,-27,23,11,-3,-31,-49,91,96,25,38,-6,-17,-17,-17,10,63,-71,10,10,10,17,0,-44,49,-38,-43,-43,-43,72,21,60,60,-59,114,8,49,-25,-55,25,39,50,-38,-5,63,87,-29,-36,92,31,31,31,-28,56,44,44,-66,-65,-1,6,52,52,0,54,29,-43,34,-55,-69,2,72,-47,-47,46,14,14,99,110,37,27,25,34,-13,32,29,11,-29,36,-30,-72,-39,14,26,61,61,0,0,0,-21,-5,-36,-36,-44,0,0,41,30,35,44,44,46,20,-42,-69,31,31,0,-71,22,27,27,27,33,33,16,-53,-53,-58,-36,53,47,24,24,-45,-1,-1,17,8,-7,-25,24,73,75,75,-69,69,38,-6,39,39,-68,-68,-68,-24,-16,-47,-47,73,-19,-69,44,-23,-35,62,9,76,32,-12,-12,-12,-12,-57,22,80,80,17,41,41,40,-16,106,-30,-6,31,-7,13,36,36,83,-1,17,-1,-1,-1,87,11,-52,-35,12,12,34,27,18,50,50,31,-66,0,-51,-40,35,60,-67,25,-20,-20,5,-29,-36,-50,11,38,38,39,30,23,-32,-26,3,44,115,77,24,-21,39,63,-9,-49,0,9,-38,-38,-22,-8,19,58,54,-55,-55,-2,-71,79,79,38,14,-55,-26,53,45,45,-14,47,70,-22,-22,-44,9,9,25,-37,32,60,25,87,83,93,93,93,-19,-54,87,119,54,105,39,39,82,82,85,5,-20,36,-24,-45,-45,13,13,-54,-37,-57,-57,56,64,17,25,25,-66,88,88,52,37,-25,-3,8,34,-41,-20,-20,-5,-5,-5,0,-35,99,-2,-17,73,25,68,-17,-55,12,20,-48,66,-54,10,2,5,5,-14,-1,17,-67,2,-3,23,0,0,-53,55,-22,-22,-56,-40,-15,-30,-51,-24,81,-48,-64,32,10,0,86,86,-28,89,27,-27,81,-23,11,21,-6,-21,-38,-38,57,28,75,18,-21,13,-15,34,-64,35,41,-59,-19,-39,12,1,25,37,35,56,56,-13,-42,73,17,-34,-38,-42,-42,-46,-6,17,17,17,-13,-13,15,-69,-49,48,54,-40,-40,59,59,31,31,-54,-11,18,2,-46,45,-35,-35,27,-25,22,-18,25,-5,-2,14,12,-24,28,28,28,30,-49,-45,28,85,43,29,-4,11,51,-69,-59,-28,-28,-66,-42,18,18,18,18,18,71,71,-35,18,31,31,53,53,-23,-23,6,27,2,2,2,28,28,28,27,3,-37,-18,15,15,-29,152,97,83,34,34,-7,-41,14,-32,-63,75,55,15,-30,-5,60,-49,-38,40,40,40,40,48,-7,-7,-6,15,1,34,-5,-5,-5,6,75,-18,5,-51,52,52,52,-60,-69,-69,-11,-32,-43,-43,100,5,76,13,13,13,63,51,49,-59,50,-3,-9,28,81,81,5,-28,-65,0,26,-3,-37,-31,-8,-5,19,0,-11,-11,-11,-66,-66,51,-15,3,3,-8,6,69,89,-34,67,61,-50,-27,90,-16,62,-11,11,-25,26,26,-3,26,34,34,34,34,88,-53,-12,-16,83,8,8,8,0,-43,-55,-14,-14,5,22,42,42,32,32,7,-31,20,20,48,12,31,31,66,73,73,-2,-2,-2,-55,6,6,-5,-33,17,22,6,-48,-54,-40,5,50,-58,-58,22,-3,12,97,-1,-1,86,43,51,21,-6,-20,7,-37,-37,34,25,65,64,1,-51,69
37053,259.5,6771,6627,7126,7114,6785,6850,6579,6981,6964,6829,6829,7075,6550,6932,6663,7017,6910,6665,6737,6937,7065,6673,7045,6892,7070,6898,6705,7120,7048,6540,6763,7030,6944,6994,6435,6516,6960,6459,6768,6656,7075,6984,7327,7155,7043,7067,6909,6846,7015,6853,7003,7016,6874,7012,6770,6829,6881,6947,6972,7150,6950,6788,6914,6751,7029,6877,6877,7002,7625,6708,7130,6942,6671,6744,6895,6775,6908,6869,6971,6931,7126,6700,7036,6691,6726,6450,6755,6861,6831,6610,6810,6716,6778,7001,6791,6987,6988,7114,6484,6704,7131,6965,7264,6484,6358,6887,7186,6822,6818,6586,6978,6581,6878,6609,6611,7159,7159,6856,7226,7086,7116,6900,7214,7072,6462,6609,6818,6563,6490,6760,6744,6982,6827,6685,6844,7101,6836,7110,6717,6787,6807,7131,7107,7036,6986,6709,6851,6750,6536,6742,6555,6794,6706,6872,6872,7014,7027,6831,6909,6951,6568,7028,6351,7321,6760,7150,6760,6671,7005,6948,6745,7156,7088,6760,6880,7148,6859,7034,6792,6358,6947,6338,6596,6651,6647,6980,6791,7111,7082,6447,6405,6396,7426,6727,6964,6893,6601,6991,6685,6644,6807,6971,7007,6826,6493,6970,6750,7007,6754,6771,7048,6692,6692,6625,6762,6820,6917,7091,6526,6957,6693,6346,6613,6780,6671,6861,6986,6659,6866,6898,6714,6657,6771,6911,6725,6531,6833,6835,6751,6562,6967,6817,6974,6727,6801,6929,6729,6569,6945,6925,6737,6811,6929,6793,7064,7143,7325,6863,6359,6713,7122,6678,6611,6729,7396,7408,6715,6599,6952,6738,6857,6818,6500,6886,6652,6417,7140,6854,6894,6703,6703,6891,6686,6771,7126,6825,6950,6676,7005,6746,6816,6798,6971,6514,7199,7039,7074,6827,6786,6692,6591,6986,6808,6756,7222,6916,6769,6833,7137,6858,6982,7107,6876,6785,6647,6863,6518,6727,6988,6988,6989,6759,6746,7384,6786,6569,6841,6930,6841,7014,7414,6637,6886,6328,6328,7368,6384,6567,6661,7159,6776,6620,6706,6862,6761,7025,7017,6684,6793,6310,6865,6761,7143,7302,6815,6990,6965,6610,6786,6360,6977,6707,6681,6655,6501,6977,6887,7222,6751,6915,6759,6688,6934,6995,6567,6786,6953,6769,6652,6658,6865,6718,6526,6656,6734,7202,6684,6791,7087,6469,6947,6666,6823,7210,6692,6838,6855,6664,6940,6696,6741,6957,7001,7134,6436,6515,6419,6690,6872,6659,6832,6674,7314,7049,6931,6764,6681,6683,6608,6882,7120,7138,6973,6972,6923,6885,6967,6554,7097,6740,6740,6673,6673,6751,6813,7124,6600,7049,7034,6819,6851,6978,6933,6404,6876,6876,6812,6822,6957,6801,6633,6993,6687,7020,6988,7048,6871,6664,7084,6708,6764,6846,6898,6658,6713,6579,6813,6847,6899,7055,7059,6460,6890,6769,6971,6984,7120,6988,6652,6607,7097,6660,7146,6856,6853,6808,6871,7054,6959,6683,6929,6926,6786,6786,6589,6621,7191,6937,6821,6782,6582,6492,6871,6898,6737,6945,6778,6866,6636,6722,6591,6957,6871,7005,6861,6636,6832,6941,6583,6960,6437,7128,7087,6869,6954,6858,6827,7020,6506,6823,7227,7055,6759,7065,6696,7184,6482,6755,7073,7029,7153,6927,6603,6830,6858,7020,7100,6836,6811,6688,6903,7249,7158,6676,6914,6738,7165,6438,6921,6652,7084,7091,6699,6647,6678,7143,6882,7155,6809,6607,6900,6916,6658,6811,6410,6886,6885,6684,6982,7251,6923,6599,6947,6668,7267,7034,6988,6647,6704,6821,6334,6948,6957,6834,6782,6700,6797,7041,6610,6690,7118,7234,6941,7176,6668,7170,7028,7076,6692,6810,7033,6883,6662,7010,6838,7040,7166,6608,6804,6890,6615,6692,6522,6756,6535,6823,6902,6703,7065,6399,6632,6881,7142,6704,7061,7010,6797,6712,6829,6656,6809,6801,6950,7202,7028,6944,6586,7135,6794,7035,7048,7160,6871,6856,6472,7066,6920,7079,7006,6959,6536,6875,7215,6715,6770,6932,7040,6803,6806,6889,6971,6901,7099,7010,6881,7160,6559,6825,7226,6867,7121,7150,6918,6732,6982,7012,7124,7152,6919,6719,6991,6790,6701,6863,6805,6805,7104,6950,6695,6698,6745,6874,6539,6782,6922,6846,6464,6907,6780,6819,6730,6990,6750,6634,6336,6927,7186,7250,6766,6770,6526,6782,6726,6366,6926,6425,7159,6898,6995,6835,6803,6964,6733,6781,7056,7070,6755,6562,7009,6895,6826,7038,6748,6978,6580,6998,6725,6416,6922,6802,6581,6806,7136,6671,6879,6904,7033,6614,6815,6612,6631,6754,7103,6651,6626,6956,7000,6740,6856,6683,6973,7204,6792,7208,6900,6876,6438,6940,6931,7025,6824,6660,6570,6608,6473,6968,6487,6576,6639,6596,6686,7307,7302,6595,6667,7058,6973,6910,6919,6799,6692,6864,6698,6940,6964,6563,6612,6930,7162,6813,6632,6760,7090,6913,6552,6513,7071,7045,6788,6819,6922,6752,6826,6722,7060,6861,6980,6607,6768,6636,7269,6962,6675,6683,7062,6582,6834,6896,7086,7225,6494,6758,6954,7102,6730,6730,6866,6827,7014,6601,6691,7157,6854,6802,6934,7064,7117,6837,6631,7117,6593,7204,6786,6661,7139,6831,7053,6705,6811,7078,7096,6826,6605,6717,6668,6764,6810,6736,6521,6559,7118,6680,6826,6697,7150,6740,6403,7043,6661,6983,6960,6750,6732,6931,6978,6903,6332,6710,6663,6845,6528,6730,6864,6672,6926,6684,6848,6949,6672,6705,6990,6385,6677,6738,7332,6675,6513,6965,6894,6982,6825,6903,6805,6987,6906,6674,6817,6689,6718,6737,6816,7014,6883,6980,6953,6804,6798,6885,6980,6864,6699,6743,7034,6956,7026,7118,7171,6966,6819,6595,6568,6680,6879,6823,6839,6919,6769,6992,6582,6775,6704,6879,6472,6801,6960,6838,6949,6786,6537,6985,6494,6946,6472,6609,6678,7222,6968,7017,7210,6743,6677,6846,6945,6953,6881,6616,7127,7127,7113,6820,6549,6617,6635,6517,6679,6577,7149,7296,6823,6644
37054,325.5,9411,9206,9040,9475,9808,9657,9481,9482,9335,9709,9217,9758,9660,10148,9669,9576,9171,9116,9412,9598,9501,9555,9633,9096,9542,9817,9021,9912,9372,9067,9169,9359,9512,9458,9692,10107,9597,9836,9176,9741,9504,9296,9656,9710,9547,9361,9570,9847,9262,9649,9598,9380,9154,9534,9488,9710,9750,9024,9315,9652,9945,9772,9479,9411,9349,9683,9399,9358,9349,9943,9682,9648,9577,9585,9492,9510,9382,10017,9351,9294,9522,9619,9471,9617,10059,9610,9334,9537,9600,9246,9879,9390,9817,9386,9466,9733,9334,9465,9520,10065,10226,10113,9537,9376,9201,9639,9944,9675,9092,9147,9327,9738,9886,9719,9575,9187,9459,9459,9633,9673,9630,9343,9221,9141,9028,9292,9676,9845,9521,9155,9516,9587,9214,9552,9593,9299,9454,9419,9350,9006,9495,9522,9768,9321,9647,9354,9354,9145,9505,9383,9627,9295,9888,9234,9201,9427,9746,9628,9332,9637,9817,9343,9697,9492,9763,9173,9395,9539,9767,9635,9592,9328,9515,9340,9531,9531,10101,9748,9481,9362,9106,9515,9206,9080,9270,9681,9974,9103,9671,9689,9524,9505,9595,9686,9487,9610,9606,9237,9679,9476,9330,9634,9737,10089,9594,9534,9853,9480,9323,9340,9531,9470,9422,9373,9754,9717,9251,9850,9484,9571,9164,9496,9227,9524,9365,9283,9495,9773,9659,9812,9472,10003,9327,9441,9863,9019,9684,9540,9447,9461,9536,9351,9608,9599,9302,9318,9473,9458,9571,9751,9708,9317,9354,9080,9727,9493,9339,9879,9565,9505,9630,9628,9635,9385,9310,9738,9537,9735,9599,9475,9475,9411,9333,9076,9589,9406,9905,9365,9305,9522,9329,9771,9423,9994,9285,9860,9579,9651,9460,9749,9532,9532,9522,9479,9476,9345,9672,9373,9324,9530,9379,9491,9490,9810,9493,10104,9549,9606,9768,9473,9783,9375,9304,9908,9810,9498,9578,10071,9631,9548,9470,9742,9789,9612,9428,9518,9614,9556,9522,9311,9244,9965,9435,9931,9016,9728,10143,9945,9381,9826,9572,9431,10070,9461,9747,9312,9348,9451,9423,9539,9490,9471,9396,9945,9831,9036,9455,9729,9747,9018,9853,9419,9581,9845,9742,9225,9515,9482,9721,9646,9937,9333,8797,9637,9443,9655,9814,9391,9742,9373,9442,9549,9774,9667,9667,9777,9587,9540,9540,9519,9533,9503,9227,9989,9458,9373,9889,9627,9422,8619,9562,9506,9526,9550,10101,9254,10026,9465,9838,9938,9527,9505,9349,9333,9531,9314,9521,9625,9358,9453,9450,9628,9354,9855,9342,9872,9332,10182,9759,9542,9879,9493,9451,9437,9388,9573,9617,9757,9524,9856,9615,9645,9324,9489,9564,9501,9274,9174,9427,9208,10053,9767,9311,9198,9173,9590,9668,9469,9987,9231,9595,9450,9866,9315,9290,9169,9532,9335,9822,9860,9173,9453,9444,9274,9451,9674,9339,9313,9879,9116,9278,9545,9117,9488,9138,9242,9628,9871,9663,9349,9321,9650,9261,9086,9237,9517,9492,9686,9423,9696,9381,9576,9252,9543,9511,9373,9177,9104,9886,9383,9725,9161,9481,9659,9471,9644,9423,9506,9507,9413,9285,9506,9492,9641,9393,9444,9903,9330,9862,9430,9794,9366,9435,9336,9599,9883,9438,9250,9324,9711,9671,9165,9646,9591,9776,9625,9833,9508,9508,9432,9434,9233,9509,9316,9740,9924,9461,9479,9507,10096,9451,9343,9649,9732,10047,9538,9534,9448,9489,9568,9670,9672,9418,9376,9600,9989,10003,9916,9559,9413,9231,9906,9648,9537,9309,9429,9444,9496,9572,9534,9710,9337,9563,9421,9644,9086,9498,9662,9480,9652,8827,9207,9390,9456,10144,9626,9508,9502,9554,9507,9752,9270,9458,9506,9605,9663,9493,9547,9145,9492,9506,10090,9492,9528,9862,9594,9094,9400,9420,9679,9449,9495,9651,10146,9404,9666,9454,9359,9596,9536,9476,9405,9558,9525,9555,9596,9629,9463,10070,9493,9660,9460,9319,9348,9628,9540,9335,9895,9504,9893,9500,9562,9470,9534,9328,9242,10186,10013,10056,9674,9947,9395,9279,10093,9604,9510,9888,9464,9579,9692,9578,9578,9245,9808,9920,9428,9267,9299,9529,9655,9455,9668,9588,9532,9532,9513,9424,10105,9563,9414,9665,9311,10090,10162,9507,9778,9652,9862,9559,9717,9645,9525,9224,9473,9857,9375,9338,9585,9354,9904,9606,9492,9736,9220,9446,9359,9725,9466,9432,9653,9644,9701,9438,9525,9353,9335,9538,9726,10202,9339,9555,10114,9316,9695,9726,9617,9519,9530,9530,9501,9471,9559,9507,9545,9387,9519,9813,9739,9610,9348,9278,9155,9518,9518,9622,10088,9535,9614,9812,10113,9496,9545,9543,9520,9353,10085,9362,9077,10030,9711,9867,9079,9773,9432,9474,9475,9369,9332,9786,9427,9488,9599,9592,9555,9496,9668,9595,9737,9510,9206,9344,9542,9557,9453,9441,9211,9593,9304,9867,9619,9407,9643,10088,9510,9279,9432,9730,9067,9190,9498,9634,9309,9425,9448,9470,9459,9513,9538,9612,9628,9389,9202,9547,9505,9354,9279,9783,9595,9529,9496,9467,9458,9747,9346,9691,9445,9485,9922,9515,9158,9667,9359,9435,9591,10074,9496,9445,9487,9552,9595,9566,9763,9791,9596,9856,9475,9362,9922,9522,10111,9528,9361,9825,9485,9094,9603,9603,9574,9348,9651,9143,9292,9417,9163,9523,9378,9806,9438,9129,9460,9921,9801,9564,9422,9482,9741,9519,9629,9165,9707,9852,9510,9510,9326,9107,9711,9498,9337,9161,9598,9703,9751,9389,9196,9438,9413,9388,9821,9591,9163,9655,9148,10005,9162,9052,9221,9228,9495,9495,10139,9038,9572,9550,9301,9670,10095,9278,9874,9787,9335,9732,9656,9283,9649,9453,9985,9371,9041,9320,9345,9532,9419,9627,9474,9528,9528,9528,9419,9496,9171,9722,9713,10014,9325,8762,9417,9358,9635,9390,9399,9167,9288,9589,9242,9638,9580,9399,9527,9636,8709,9331,9733,9505,9484,9400,9541,9350,9599,9478,9648,9319,9651,9099,9429,9575,9261,9577,9603,9643,10111
