"datasetid","siteid","sitename","chroncontrolid","type","age","depth","ageboundolder","ageboundyounger","limityounger","limitolder","error","cc"
2065,1990,"Rice Lake",5909,"Core top",-30,865,9700,-30,-35,-25,5,0
2065,1990,"Rice Lake",5911,"Radiocarbon",560,1047,9700,-30,440,680,120,1
2065,1990,"Rice Lake",5912,"Radiocarbon",1360,1254,9700,-30,1240,1480,120,1
2065,1990,"Rice Lake",5913,"Radiocarbon",2090,1431,9700,-30,1970,2210,120,1
2065,1990,"Rice Lake",5914,"Radiocarbon",3730,1614,9700,-30,3610,3850,120,1
2065,1990,"Rice Lake",5915,"Radiocarbon",5260,1750,9700,-30,5140,5380,120,1
2065,1990,"Rice Lake",5916,"Radiocarbon",6350,1868,9700,-30,6230,6470,120,1
2065,1990,"Rice Lake",5917,"Radiocarbon",7250,1916,9700,-30,7130,7370,120,1
2065,1990,"Rice Lake",5918,"Radiocarbon",7480,1916,9700,-30,7360,7600,120,1
2065,1990,"Rice Lake",5919,"Radiocarbon",9540,1978,9700,-30,9420,9660,120,1
2065,1990,"Rice Lake",5920,"Radiocarbon",9240,2030,9700,-30,9060,9420,180,1
