labid,age,error,depth,cc
Core top,-44,1,0,0
CAMS-56435,1220,50,40.5,1
CAMS-56436,1400,100,80.5,1
CAMS-56437,1650,50,80.5,1
CAMS-48495,2920,90,102.5,1
CAMS-16065,4100,50,152,1
CAMS-56438,5000,110,174,1
CAMS-56439,5220,50,174,1
CAMS-39079,6230,100,202.5,1
CAMS-39080,6360,90,203.5,1
CAMS-39081,6500,100,205.5,1
CAMS-56441,7220,40,213,1
CAMS-56440,7260,50,213,1
CAMS-56442,7570,100,220,1
CAMS-56443,8050,50,220,1
CAMS-39082,8830,50,226.5,1
CAMS-48496,11590,100,272.5,1
CAMS-48497,5220,150,299.5,1
CAMS-56444,22180,140,300,1
CAMS-16066,10010,60,302,1
CAMS-16066,12220,70,345,1
CAMS-58299,12410,50,364.5,1
CAMS-48498,12430,40,364.5,1
