labID,	age,	error,	depth,	cc
Core top,	-45,	1,	0,	0
Lead-210,	50,	5,	22,	0
Beta-104815,	1040,	50,	29,	1
Beta-104816,	1910,	50,	41,	1
Beta-90034,	2270,	60,	62,	1
