labID,	age,	error,	depth,	cc
Core top,	-30,	1,	0,	0
Radiocarbon_ reservoir correction,	90,	70,	43.5,	1
Radiocarbon_ reservoir correction,	2250,	160,	335,	1
Radiocarbon_ reservoir correction,	2870,	160,	445,	1
