labid,age,error,depth,cc
Core top,-50,5,0,0
SUERC-11046,606,35,41.5,1
CAMS-120915,1155,35,81,1
Poz-16785,2870,30,165.5,1
SUERC-11404,4050,35,226.5,1
SUERC-11403,4529,35,257.5,1
SUERC-7828,5816,88,324,1
Poz-167783,6950,40,366.5,1
SUERC-7829,8294,147,427.5,1
CAMS-120916,9480,90,474.5,1
