labid,age,error,depth,cc
Core top,-30,32,0,0
unassigned,510,80,36,1
unassigned,2350,350,55.5,1
unassigned,4140,140,76,1
unassigned,4300,330,85.5,1
unassigned,4670,150,88.5,1
Tephra,6900,10,188.5,0
unassigned,9770,420,380.5,1
unassigned,15790,880,408.5,1
unassigned,21500,1100,450.5,1
unassigned,23200,2000,540.5,1
