labid,age,error,depth,cc
Core top,-61,1,0,0
European settlement horizon,43,50,28.5,0
unassigned,270,30,42,1
unassigned,1680,30,84,1
unassigned,2210,30,122,1
unassigned,2660,30,146,1
unassigned,3860,30,176,1
