labid,age,error,depth,cc
Core top,0,40,0,0
Beta-60636,3970,90,135,1
Beta-62264,4870,90,190,1
Tephra,6850,150,252,0
Tephra,6850,150,292,0
Beta-60637,8500,80,392.5,1
Beta-62265,9300,70,489,1
