labid,age,error,depth,cc
Core top,-50,1,0,0
unassigned,-39.9,0.896633263,1,0
unassigned,-28.2,1.129706187,4,0
unassigned,-16,1.485180209,8,0
unassigned,-8.1,1.788000249,12,0
unassigned,-1,2.091623355,16,0
unassigned,8,2.538552793,24,0
unassigned,22.2,3.405459364,32,0
unassigned,39.8,4.798166845,40,0
unassigned,84.2,8.907618578,56,0
European settlement horizon,300,50,140,0
AA 39350,541,35,179,1
AA 39351,1309,37,219,1
AA 39352,2190,54,271,1
