labid,age,error,depth,cc
Core top,-40,4,0,0
Beta-60992,1970,80,95,1
Beta-59068,3690,80,225,1
Beta-60993,4330,100,355,1
Beta-59069,7310,90,490,1
Beta-60994,9200,80,545,1
Beta-60995,12350,240,645,1
Beta-59070,12510,240,704,1
Beta-59071,12870,210,835.5,1
