labid,age,error,depth,cc
Core top,0,32,0,0
Beta-9210,2450,90,25.5,1
Beta-9211,5590,120,105.5,1
Beta-8862,7720,120,138.5,1
Beta-6160,8800,310,168,1
Beta-8862,10760,130,221.5,1
Beta-5890,12530,230,249,1
