labid,age,error,depth,cc
Core top,-35,1,1,0
Ambrosia rise,80,20,13,0
Beta-22162,3070,100,90,1
OS-11665,4550,70,131.5,1
Beta-22163,5440,90,150,1
Beta-22164,7190,100,180,1
OS-11188,8670,45,226.5,1
